member,outcrop2D,exposure2D,outexp2D,outcrop3D,exposure3D,outexp3D,thickness,volume2D,volume3D,publications,car100m,car500m,car1km,pubs100m,pubs500m,pubs1km,generic,gmicrofossils,gbrachiopods,gbivalves,ggastropods,gcephalopods,gammonites,gbelemnites,gechinoderms,gvertebrates,species,smicrofossils,sbrachiopods,sbivalves,sgastropods,scephalopods,sammonites,sbelemnites,sechinoderms,svertebrates
Blue Lias,359147,132714,0.36952557,371529,137736,0.370727453,22,7901234,8173638,58,0,8,13,0,15,20,109,25,6,24,5,16,13,1,10,21,198,47,9,36,6,48,45,1,16,34
Black Ven Mudstone,4142302,192772,0.046537408,4428145,226857,0.051230707,65,269249630,287829425,63,2,11,14,2,16,21,137,12,5,18,3,27,23,3,9,32,253,15,8,25,3,103,97,3,10,51
Stonebarrow Marl,612766,58924,0.096160688,672002,76460,0.113779423,24,14706384,16128048,41,0,6,13,0,2,15,86,14,11,11,9,29,20,9,5,6,186,25,19,14,17,94,57,37,6,10
Seatown Marl,2091137,345783,0.165356454,2286096,410911,0.179743545,29,60642973,66296784,36,1,10,16,1,2,14,92,33,5,15,12,14,10,4,8,3,154,63,7,15,14,39,32,7,10,4
Eype Clay,5121687,156700,0.030595388,5371644,210548,0.039196194,65,332909655,349156860,31,3,4,12,0,1,4,76,14,7,33,9,10,8,2,2,0,116,16,9,46,15,26,19,7,3,0
Down Cliff Sand,2624670,43273,0.016487025,2759787,61536,0.022297373,27,70866090,74514249,28,1,4,7,0,1,2,49,9,3,13,13,6,5,1,5,0,72,11,4,14,17,19,13,6,7,0
Thorncombe Sand,1173884,6458,0.005501395,1225330,11128,0.009081635,27,31694868,33083910,25,0,3,5,0,1,2,44,9,4,12,10,7,5,2,2,0,65,9,7,13,13,21,14,7,2,0
Beacon Limestone,331463,48968,0.147732929,375348,68135,0.181524878,4,1325852,1501392,32,0,3,3,0,1,2,103,0,20,27,14,31,24,6,7,0,179,0,44,32,18,72,60,11,9,0
Down Cliff Clay,414072,45294,0.109386773,460084,69726,0.151550586,21,8695512,9661764,26,0,3,5,0,0,2,16,10,0,0,0,5,3,2,1,0,23,10,0,0,0,12,9,3,1,0
Bridport Sand,1270495,41374,0.03256526,1374742,63979,0.046538914,9,11434455,12372678,24,2,8,10,1,6,7,18,3,3,0,0,10,7,3,2,0,31,3,3,0,0,23,19,4,2,0
